"","PFC","Subcortical","COMT.Genotype","AgeInverseCentered","Sex.ID","reducedCorrPercentileContiguous","se","plo","phi","tlo","thi"
"407","Dorsal_ACC","Caudate",-0.073,0.006,0,0.325723080635392,0.015382143291702,0.294958794051988,0.356487367218796,0.0861860898825284,0.565260071388255
"408","InferiorFrontalGyrus","Caudate",-0.073,0.006,0,0.262740454037259,0.015382143291702,0.231976167453855,0.293504740620663,0.0232034632843955,0.502277444790122
"409","Lateral_OFC","Caudate",-0.073,0.006,0,0.241997815785803,0.015382143291702,0.2112335292024,0.272762102369207,0.00246082503293996,0.481534806538667
"410","Medial_OFC","Caudate",-0.073,0.006,0,0.199506774632707,0.015382143291702,0.168742488049303,0.230271061216111,-0.0400302161201568,0.43904376538557
"411","MiddleFrontalGyrus","Caudate",-0.073,0.006,0,0.213029305075787,0.015382143291702,0.182265018492383,0.243793591659191,-0.0265076856770766,0.45256629582865
"412","SuperiorFrontalGyrus","Caudate",-0.073,0.006,0,0.262605093581535,0.015382143291702,0.231840806998131,0.293369380164939,0.0230681028286714,0.502142084334398
"413","Ventral_ACC","Caudate",-0.073,0.006,0,0.324457116012037,0.015382143291702,0.293692829428633,0.355221402595441,0.0849201252591734,0.5639941067649
"414","Dorsal_ACC","Putamen",-0.073,0.006,0,0.459763014165724,0.015382143291702,0.42899872758232,0.490527300749128,0.220226023412861,0.699300004918588
"415","InferiorFrontalGyrus","Putamen",-0.073,0.006,0,0.35407602148432,0.015382143291702,0.323311734900916,0.384840308067724,0.114539030731457,0.593613012237184
"416","Lateral_OFC","Putamen",-0.073,0.006,0,0.25267006509255,0.015382143291702,0.221905778509146,0.283434351675954,0.0131330743396867,0.492207055845414
"417","Medial_OFC","Putamen",-0.073,0.006,0,0.223034707249965,0.015382143291702,0.192270420666561,0.253798993833369,-0.0165022835028983,0.462571698002829
"418","MiddleFrontalGyrus","Putamen",-0.073,0.006,0,0.199485914344861,0.015382143291702,0.168721627761457,0.230250200928265,-0.0400510764080022,0.439022905097725
"419","SuperiorFrontalGyrus","Putamen",-0.073,0.006,0,0.274175051355915,0.015382143291702,0.243410764772511,0.304939337939319,0.0346380606030519,0.513712042108779
"420","Ventral_ACC","Putamen",-0.073,0.006,0,0.301378558063472,0.015382143291702,0.270614271480069,0.332142844646876,0.061841567310609,0.540915548816336
"421","Dorsal_ACC","Accum",0.927,0.006,0,0.296552125412918,0.0247273516286479,0.247097422155623,0.346006828670214,0.0539056824465753,0.539198568379262
"422","InferiorFrontalGyrus","Accum",0.927,0.006,0,0.229619721371311,0.0247273516286489,0.180165018114013,0.279074424628609,-0.0130267215950325,0.472266164337655
"423","Lateral_OFC","Accum",0.927,0.006,0,0.215031950222009,0.0247273516286489,0.165577246964711,0.264486653479306,-0.0276144927443348,0.457678393188352
"424","Medial_OFC","Accum",0.927,0.006,0,0.227000643690362,0.0247273516286489,0.177545940433065,0.27645534694766,-0.0156457992759812,0.469647086656706
"425","MiddleFrontalGyrus","Accum",0.927,0.006,0,0.154099339426529,0.0247273516286489,0.104644636169231,0.203554042683826,-0.0885471035398148,0.396745782392872
"426","SuperiorFrontalGyrus","Accum",0.927,0.006,0,0.212727295109939,0.0247273516286489,0.163272591852642,0.262181998367237,-0.0299191478564041,0.455373738076283
"427","Ventral_ACC","Accum",0.927,0.006,0,0.347133648565256,0.0247273516286489,0.297678945307958,0.396588351822553,0.104487205598912,0.589780091531599
"428","Dorsal_ACC","Caudate",0.927,0.006,0,0.32195856141062,0.024727351628649,0.272503858153322,0.371413264667918,0.0793121184442762,0.564605004376963
"429","InferiorFrontalGyrus","Caudate",0.927,0.006,0,0.269808361564328,0.0247273516286488,0.22035365830703,0.319263064821626,0.0271619185979847,0.512454804530672
"430","Lateral_OFC","Caudate",0.927,0.006,0,0.251847994978435,0.0247273516286488,0.202393291721138,0.301302698235733,0.00920155201209175,0.494494437944779
"431","Medial_OFC","Caudate",0.927,0.006,0,0.173936154342737,0.0247273516286488,0.12448145108544,0.223390857600035,-0.0687102886236061,0.416582597309081
"432","MiddleFrontalGyrus","Caudate",0.927,0.006,0,0.220313455238435,0.0247273516286488,0.170858751981137,0.269768158495732,-0.0223329877279089,0.462959898204778
"433","SuperiorFrontalGyrus","Caudate",0.927,0.006,0,0.270420566076969,0.0247273516286488,0.220965862819671,0.319875269334267,0.0277741231106257,0.513067009043313
"434","Ventral_ACC","Caudate",0.927,0.006,0,0.313878319863958,0.0247273516286488,0.26442361660666,0.363333023121255,0.0712318768976143,0.556524762830301
"435","Dorsal_ACC","Putamen",0.927,0.006,0,0.485997316771134,0.024727351628649,0.436542613513836,0.535452020028432,0.24335087380479,0.728643759737477
"436","InferiorFrontalGyrus","Putamen",0.927,0.006,0,0.363879800805321,0.0247273516286488,0.314425097548023,0.413334504062619,0.121233357838977,0.606526243771664
"437","Lateral_OFC","Putamen",0.927,0.006,0,0.252253177501184,0.0247273516286488,0.202798474243886,0.301707880758481,0.00960673453484018,0.494899620467527
"438","Medial_OFC","Putamen",0.927,0.006,0,0.204329067650678,0.0247273516286488,0.154874364393381,0.253783770907976,-0.0383173753156652,0.446975510617022
"439","MiddleFrontalGyrus","Putamen",0.927,0.006,0,0.192074364714665,0.0247273516286488,0.142619661457367,0.241529067971962,-0.0505720782516788,0.434720807681008
"440","SuperiorFrontalGyrus","Putamen",0.927,0.006,0,0.271678443329652,0.0247273516286488,0.222223740072354,0.321133146586949,0.0290320003633082,0.514324886295995
"441","Ventral_ACC","Putamen",0.927,0.006,0,0.313223648243674,0.0247273516286488,0.263768944986376,0.362678351500971,0.0705772052773302,0.555870091210017
"442","Dorsal_ACC","Accum",-1.073,0.012,0,0.299353652430277,0.0325983057139922,0.234157041002293,0.364550263858261,0.0530162278443177,0.545691077016236
"443","InferiorFrontalGyrus","Accum",-1.073,0.012,0,0.182462846117567,0.0325983057139933,0.11726623468958,0.247659457545553,-0.063874578468393,0.428800270703527
"444","Lateral_OFC","Accum",-1.073,0.012,0,0.190935902616386,0.0325983057139933,0.1257392911884,0.256132514044373,-0.0554015219695736,0.437273327202346
"445","Medial_OFC","Accum",-1.073,0.012,0,0.265827411508772,0.0325983057139933,0.200630800080785,0.331024022936758,0.0194899869228118,0.512164836094732
"446","MiddleFrontalGyrus","Accum",-1.073,0.012,0,0.150762216333704,0.0325983057139933,0.0855656049057174,0.215958827761691,-0.095575208252256,0.397099640919664
"447","SuperiorFrontalGyrus","Accum",-1.073,0.012,0,0.209147723956375,0.0325983057139933,0.143951112528388,0.274344335384362,-0.0371897006295848,0.455485148542335
"448","Ventral_ACC","Accum",-1.073,0.012,0,0.357365860444609,0.0325983057139932,0.292169249016623,0.422562471872596,0.111028435858649,0.603703285030569
"449","Dorsal_ACC","Caudate",-1.073,0.012,0,0.349130434848807,0.0325983057139934,0.28393382342082,0.414327046276794,0.102793010262847,0.595467859434767
"450","InferiorFrontalGyrus","Caudate",-1.073,0.012,0,0.276747167723144,0.0325983057139932,0.211550556295157,0.34194377915113,0.030409743137184,0.523084592309104
"451","Lateral_OFC","Caudate",-1.073,0.012,0,0.238352050078859,0.0325983057139932,0.173155438650873,0.303548661506846,-0.00798537450710063,0.484689474664819
"452","Medial_OFC","Caudate",-1.073,0.012,0,0.23957274956477,0.0325983057139932,0.174376138136783,0.304769360992756,-0.00676467502119016,0.48591017415073
"453","MiddleFrontalGyrus","Caudate",-1.073,0.012,0,0.215180468370681,0.0325983057139932,0.149983856942694,0.280377079798667,-0.0311569562152792,0.46151789295664
"454","SuperiorFrontalGyrus","Caudate",-1.073,0.012,0,0.263634661064516,0.0325983057139932,0.19843804963653,0.328831272492503,0.0172972364785564,0.509972085650476
"455","Ventral_ACC","Caudate",-1.073,0.012,0,0.348861757349619,0.0325983057139932,0.283665145921632,0.414058368777605,0.102524332763659,0.595199181935578
"456","Dorsal_ACC","Putamen",-1.073,0.012,0,0.457185482307693,0.0325983057139934,0.391988870879707,0.52238209373568,0.210848057721733,0.703522906893653
"457","InferiorFrontalGyrus","Putamen",-1.073,0.012,0,0.367055879948765,0.0325983057139932,0.301859268520778,0.432252491376751,0.120718455362805,0.613393304534725
"458","Lateral_OFC","Putamen",-1.073,0.012,0,0.266115793399701,0.0325983057139932,0.200919181971715,0.331312404827688,0.0197783688137413,0.512453217985661
"459","Medial_OFC","Putamen",-1.073,0.012,0,0.254577467419072,0.0325983057139932,0.189380855991085,0.319774078847058,0.00824004283311208,0.500914892005032
"460","MiddleFrontalGyrus","Putamen",-1.073,0.012,0,0.221968323539597,0.0325983057139932,0.156771712111611,0.287164934967584,-0.0243691010463626,0.468305748125557
"461","SuperiorFrontalGyrus","Putamen",-1.073,0.012,0,0.29628021645441,0.0325983057139932,0.231083605026424,0.361476827882397,0.0499427918684503,0.54261764104037
"462","Ventral_ACC","Putamen",-1.073,0.012,0,0.319227103305291,0.0325983057139932,0.254030491877305,0.384423714733278,0.0728896787193313,0.565564527891251
"463","Dorsal_ACC","Accum",-0.073,0.012,0,0.304668328519708,0.0180012070942624,0.268665914331183,0.340670742708233,0.0644024290721299,0.544934227967286
