"","PFC","Subcortical","CompositeRecoded.Genotype","AgeInverseCentered","Sex.ID","reducedCorrPercentileContiguous","se","plo","phi","tlo","thi"
"144","Medial_OFC","Putamen",-1.173,-0.012,0,0.175195015728044,0.0375836488127663,0.100027718102511,0.250362313353577,-0.0690626515088959,0.419452682964984
"145","MiddleFrontalGyrus","Putamen",-1.173,-0.012,0,0.122412380416301,0.0375836488127663,0.0472450827907688,0.197579678041834,-0.121845286820638,0.366670047653241
"146","SuperiorFrontalGyrus","Putamen",-1.173,-0.012,0,0.172373615227089,0.0375836488127663,0.0972063176015566,0.247540912852622,-0.0718840520098506,0.416631282464029
"147","Ventral_ACC","Putamen",-1.173,-0.012,0,0.194704422999644,0.0375836488127663,0.119537125374111,0.269871720625176,-0.0495532442372963,0.438962090236583
"148","Dorsal_ACC","Accum",-0.673,-0.012,0,0.227143667096099,0.0273483388082048,0.17244698947969,0.281840344712509,-0.0116102059907676,0.465897540182966
"149","InferiorFrontalGyrus","Accum",-0.673,-0.012,0,0.142997282745694,0.027348338808203,0.0883006051292881,0.1976939603621,-0.0957565903411718,0.38175115583256
"150","Lateral_OFC","Accum",-0.673,-0.012,0,0.16371809293193,0.027348338808203,0.109021415315524,0.218414770548336,-0.0750357801549358,0.402471966018796
"151","Medial_OFC","Accum",-0.673,-0.012,0,0.213124575572287,0.0273483388082031,0.158427897955881,0.267821253188693,-0.0256292975145788,0.451878448659153
"152","MiddleFrontalGyrus","Accum",-0.673,-0.012,0,0.115321974742239,0.027348338808203,0.0606252971258333,0.170018652358645,-0.123431898344627,0.354075847829105
"153","SuperiorFrontalGyrus","Accum",-0.673,-0.012,0,0.164471352200034,0.027348338808203,0.109774674583628,0.21916802981644,-0.0742825208868322,0.4032252252869
"154","Ventral_ACC","Accum",-0.673,-0.012,0,0.297800541385754,0.0273483388082031,0.243103863769348,0.35249721900216,0.0590466682988878,0.53655441447262
"155","Dorsal_ACC","Caudate",-0.673,-0.012,0,0.262232775279597,0.0273483388082029,0.207536097663191,0.316929452896003,0.0234789021927311,0.500986648366463
"156","InferiorFrontalGyrus","Caudate",-0.673,-0.012,0,0.182002878720783,0.0273483388082031,0.127306201104377,0.236699556337189,-0.0567509943660832,0.420756751807649
"157","Lateral_OFC","Caudate",-0.673,-0.012,0,0.199062118272373,0.0273483388082031,0.144365440655967,0.25375879588878,-0.0396917548144925,0.437815991359239
"158","Medial_OFC","Caudate",-0.673,-0.012,0,0.171306897417674,0.0273483388082031,0.116610219801268,0.226003575034081,-0.0674469756691915,0.41006077050454
"159","MiddleFrontalGyrus","Caudate",-0.673,-0.012,0,0.166111738809599,0.0273483388082031,0.111415061193193,0.220808416426005,-0.0726421342772669,0.404865611896465
"160","SuperiorFrontalGyrus","Caudate",-0.673,-0.012,0,0.209200325091821,0.0273483388082031,0.154503647475415,0.263897002708227,-0.0295535479950451,0.447954198178687
"161","Ventral_ACC","Caudate",-0.673,-0.012,0,0.285205778159472,0.0273483388082031,0.230509100543065,0.339902455775878,0.0464519050726055,0.523959651246337
"162","Dorsal_ACC","Putamen",-0.673,-0.012,0,0.383027674572464,0.0273483388082029,0.328330996956058,0.437724352188869,0.144273801485598,0.621781547659329
"163","InferiorFrontalGyrus","Putamen",-0.673,-0.012,0,0.268947852456245,0.0273483388082031,0.214251174839839,0.323644530072652,0.0301939793693794,0.507701725543111
"164","Lateral_OFC","Putamen",-0.673,-0.012,0,0.198706012304701,0.0273483388082031,0.144009334688295,0.253402689921107,-0.040047860782165,0.437459885391567
"165","Medial_OFC","Putamen",-0.673,-0.012,0,0.181557971381098,0.0273483388082031,0.126861293764692,0.236254648997505,-0.0571959017057676,0.420311844467964
"166","MiddleFrontalGyrus","Putamen",-0.673,-0.012,0,0.144464363080586,0.0273483388082031,0.0897676854641795,0.199161040696992,-0.0942895100062802,0.383218236167452
"167","SuperiorFrontalGyrus","Putamen",-0.673,-0.012,0,0.200567556990357,0.0273483388082031,0.145870879373951,0.255264234606764,-0.0381863160965085,0.439321430077223
"168","Ventral_ACC","Putamen",-0.673,-0.012,0,0.223893070050399,0.0273483388082031,0.169196392433993,0.278589747666806,-0.0148608030364666,0.462646943137265
"169","Dorsal_ACC","Accum",-0.173,-0.012,0,0.237967064445113,0.0215282684010119,0.19491052764309,0.281023601247137,0.00160811975909086,0.474326009131136
"170","InferiorFrontalGyrus","Accum",-0.173,-0.012,0,0.159309618778335,0.0215282684010116,0.116253081976311,0.202366155580358,-0.0770493259076877,0.395668563464357
"171","Lateral_OFC","Accum",-0.173,-0.012,0,0.179928829676807,0.0215282684010116,0.136872292874783,0.22298536647883,-0.0564301150092158,0.416287774362829
"172","Medial_OFC","Accum",-0.173,-0.012,0,0.213983754265997,0.0215282684010116,0.170927217463974,0.25704029106802,-0.0223751904200256,0.450342698952019
"173","MiddleFrontalGyrus","Accum",-0.173,-0.012,0,0.128511623679029,0.0215282684010116,0.0854550868770058,0.171568160481052,-0.107847321006993,0.364870568365051
"174","SuperiorFrontalGyrus","Accum",-0.173,-0.012,0,0.177223303652462,0.0215282684010116,0.134166766850438,0.220279840454485,-0.0591356410335607,0.413582248338484
"175","Ventral_ACC","Accum",-0.173,-0.012,0,0.310307635968371,0.0215282684010116,0.267251099166348,0.353364172770395,0.073948691282349,0.546666580654394
"176","Dorsal_ACC","Caudate",-0.173,-0.012,0,0.250359155340199,0.0215282684010115,0.207302618538176,0.293415692142222,0.0140002106541767,0.486718100026221
"177","InferiorFrontalGyrus","Caudate",-0.173,-0.012,0,0.185478673776815,0.0215282684010117,0.142422136974792,0.228535210578838,-0.0508802709092075,0.421837618462837
"178","Lateral_OFC","Caudate",-0.173,-0.012,0,0.198927222261327,0.0215282684010117,0.155870685459304,0.24198375906335,-0.0374317224246953,0.43528616694735
"179","Medial_OFC","Caudate",-0.173,-0.012,0,0.1675965959756,0.0215282684010117,0.124540059173576,0.210653132777623,-0.0687623487104227,0.403955540661622
"180","MiddleFrontalGyrus","Caudate",-0.173,-0.012,0,0.168573556277344,0.0215282684010117,0.125517019475321,0.211630093079368,-0.0677853884086781,0.404932500963367
"181","SuperiorFrontalGyrus","Caudate",-0.173,-0.012,0,0.209069248170303,0.0215282684010117,0.166012711368279,0.252125784972326,-0.0272896965157198,0.445428192856325
"182","Ventral_ACC","Caudate",-0.173,-0.012,0,0.273683839726821,0.0215282684010117,0.230627302924798,0.316740376528845,0.0373248950407988,0.510042784412844
"183","Dorsal_ACC","Putamen",-0.173,-0.012,0,0.416832436000613,0.0215282684010115,0.37377589919859,0.459888972802636,0.180473491314591,0.653191380686635
"184","InferiorFrontalGyrus","Putamen",-0.173,-0.012,0,0.299225160766674,0.0215282684010117,0.256168623964651,0.342281697568698,0.0628662160806517,0.535584105452697
"185","Lateral_OFC","Putamen",-0.173,-0.012,0,0.217568432936765,0.0215282684010117,0.174511896134742,0.260624969738788,-0.0187905117492575,0.453927377622787
"186","Medial_OFC","Putamen",-0.173,-0.012,0,0.187920927034153,0.0215282684010117,0.14486439023213,0.230977463836176,-0.0484380176518695,0.424279871720175
"187","MiddleFrontalGyrus","Putamen",-0.173,-0.012,0,0.16651634574487,0.0215282684010117,0.123459808942847,0.209572882546894,-0.0698425989411523,0.402875290430893
