"","PFC","Subcortical","MAOA.Genotype","AgeInverseCentered","Sex.ID","reducedCorrPercentileContiguous","se","plo","phi","tlo","thi"
"481","MiddleFrontalGyrus","Putamen",-0.273,0.012,0,0.198703634792197,0.0183212323375605,0.162061170117076,0.235346099467318,-0.0357531875786472,0.433160457163041
"482","SuperiorFrontalGyrus","Putamen",-0.273,0.012,0,0.272656495166118,0.0183212323375605,0.236014030490997,0.30929895984124,0.0381996727952742,0.507113317536963
"483","Ventral_ACC","Putamen",-0.273,0.012,0,0.297337080407412,0.0183212323375605,0.260694615732291,0.333979545082533,0.0628802580365675,0.531793902778256
"484","Dorsal_ACC","Accum",0.727,0.012,0,0.345609236041433,0.0233536619731638,0.298901912095105,0.39231655998776,0.109370150687224,0.581848321395642
"485","InferiorFrontalGyrus","Accum",0.727,0.012,0,0.241022556634297,0.0233536619731636,0.194315232687969,0.287729880580624,0.00478347128008758,0.477261641988506
"486","Lateral_OFC","Accum",0.727,0.012,0,0.225769367272781,0.0233536619731636,0.179062043326454,0.272476691219108,-0.010469718081428,0.46200845262699
"487","Medial_OFC","Accum",0.727,0.012,0,0.257483303211667,0.0233536619731636,0.21077597926534,0.304190627157994,0.0212442178574581,0.493722388565876
"488","MiddleFrontalGyrus","Accum",0.727,0.012,0,0.177266090791205,0.0233536619731636,0.130558766844877,0.223973414737532,-0.0589729945630043,0.413505176145414
"489","SuperiorFrontalGyrus","Accum",0.727,0.012,0,0.235499956164856,0.0233536619731636,0.188792632218529,0.282207280111183,-0.000739129189353011,0.471739041519065
"490","Ventral_ACC","Accum",0.727,0.012,0,0.380083460884937,0.0233536619731636,0.333376136938609,0.426790784831264,0.143844375530728,0.616322546239146
"491","Dorsal_ACC","Caudate",0.727,0.012,0,0.420429760720882,0.0233536619731637,0.373722436774554,0.467137084667209,0.184190675366673,0.656668846075091
"492","InferiorFrontalGyrus","Caudate",0.727,0.012,0,0.319676661239202,0.0233536619731637,0.272969337292875,0.36638398518553,0.0834375758849934,0.555915746593411
"493","Lateral_OFC","Caudate",0.727,0.012,0,0.27564427785612,0.0233536619731637,0.228936953909793,0.322351601802447,0.039405192501911,0.511883363210329
"494","Medial_OFC","Caudate",0.727,0.012,0,0.213055313307311,0.0233536619731637,0.166347989360984,0.259762637253639,-0.0231837720468976,0.44929439866152
"495","MiddleFrontalGyrus","Caudate",0.727,0.012,0,0.24705056279572,0.0233536619731637,0.200343238849392,0.293757886742047,0.0108114774415106,0.483289648149929
"496","SuperiorFrontalGyrus","Caudate",0.727,0.012,0,0.309725358970329,0.0233536619731637,0.263018035024002,0.356432682916656,0.07348627361612,0.545964444324538
"497","Ventral_ACC","Caudate",0.727,0.012,0,0.365552434093955,0.0233536619731637,0.318845110147628,0.412259758040282,0.129313348739746,0.601791519448164
"498","Dorsal_ACC","Putamen",0.727,0.012,0,0.523024244139977,0.0233536619731637,0.476316920193649,0.569731568086304,0.286785158785768,0.759263329494186
"499","InferiorFrontalGyrus","Putamen",0.727,0.012,0,0.412517404153318,0.0233536619731637,0.365810080206991,0.459224728099645,0.176278318799109,0.648756489507527
"500","Lateral_OFC","Putamen",0.727,0.012,0,0.286779004372782,0.0233536619731637,0.240071680426455,0.33348632831911,0.0505399190185734,0.523018089726991
"501","Medial_OFC","Putamen",0.727,0.012,0,0.2477826667421,0.0233536619731637,0.201075342795773,0.294489990688428,0.0115435813878912,0.484021752096309
"502","MiddleFrontalGyrus","Putamen",0.727,0.012,0,0.225593145242529,0.0233536619731637,0.178885821296202,0.272300469188857,-0.0106459401116796,0.461832230596738
"503","SuperiorFrontalGyrus","Putamen",0.727,0.012,0,0.316358063591266,0.0233536619731637,0.269650739644938,0.363065387537593,0.0801189782370567,0.552597148945475
"504","Ventral_ACC","Putamen",0.727,0.012,0,0.356537866052238,0.0233536619731637,0.30983054210591,0.403245189998565,0.120298780698029,0.592776951406447
"505","Dorsal_ACC","Accum",-1.273,0.018,0,0.237490965974155,0.0378878575829952,0.161715250808165,0.313266681140145,-0.00616717640504677,0.481149108353357
"506","InferiorFrontalGyrus","Accum",-1.273,0.018,0,0.179379976270737,0.0378878575829954,0.103604261104747,0.255155691436728,-0.0642781661084645,0.423038118649939
"507","Lateral_OFC","Accum",-1.273,0.018,0,0.178477092215036,0.0378878575829954,0.102701377049045,0.254252807381027,-0.0651810501641658,0.422135234594238
"508","Medial_OFC","Accum",-1.273,0.018,0,0.238420841776734,0.0378878575829954,0.162645126610743,0.314196556942725,-0.00523730060246769,0.482078984155936
"509","MiddleFrontalGyrus","Accum",-1.273,0.018,0,0.124236677112107,0.0378878575829954,0.0484609619461158,0.200012392278097,-0.119421465267095,0.367894819491309
"510","SuperiorFrontalGyrus","Accum",-1.273,0.018,0,0.188822026090074,0.0378878575829954,0.113046310924083,0.264597741256064,-0.0548361162891284,0.432480168469276
"511","Ventral_ACC","Accum",-1.273,0.018,0,0.320094318674588,0.0378878575829954,0.244318603508597,0.395870033840579,0.0764361762953858,0.56375246105379
"512","Dorsal_ACC","Caudate",-1.273,0.018,0,0.220903633479123,0.0378878575829955,0.145127918313132,0.296679348645114,-0.0227545089000787,0.464561775858325
"513","InferiorFrontalGyrus","Caudate",-1.273,0.018,0,0.246789301051545,0.0378878575829955,0.171013585885554,0.322565016217536,0.00313115867234279,0.490447443430747
"514","Lateral_OFC","Caudate",-1.273,0.018,0,0.232455208853963,0.0378878575829955,0.156679493687972,0.308230924019954,-0.0112029335252391,0.476113351233165
"515","Medial_OFC","Caudate",-1.273,0.018,0,0.204416143961922,0.0378878575829955,0.128640428795931,0.280191859127913,-0.0392419984172802,0.448074286341124
"516","MiddleFrontalGyrus","Caudate",-1.273,0.018,0,0.203897774987942,0.0378878575829955,0.128122059821951,0.279673490153933,-0.0397603673912601,0.447555917367144
"517","SuperiorFrontalGyrus","Caudate",-1.273,0.018,0,0.237346685013615,0.0378878575829955,0.161570969847624,0.313122400179606,-0.00631145736558744,0.481004827392817
"518","Ventral_ACC","Caudate",-1.273,0.018,0,0.300863590087905,0.0378878575829955,0.225087874921914,0.376639305253896,0.0572054477087027,0.544521732467107
"519","Dorsal_ACC","Putamen",-1.273,0.018,0,0.386236195378373,0.0378878575829955,0.310460480212382,0.462011910544364,0.142578052999171,0.629894337757575
"520","InferiorFrontalGyrus","Putamen",-1.273,0.018,0,0.304951726915126,0.0378878575829955,0.229176011749135,0.380727442081117,0.0612935845359243,0.548609869294328
"521","Lateral_OFC","Putamen",-1.273,0.018,0,0.226424215882157,0.0378878575829955,0.150648500716166,0.302199931048148,-0.0172339264970454,0.470082358261359
"522","Medial_OFC","Putamen",-1.273,0.018,0,0.215135382799651,0.0378878575829955,0.13935966763366,0.290911097965642,-0.0285227595795511,0.458793525178853
"523","MiddleFrontalGyrus","Putamen",-1.273,0.018,0,0.184323904762065,0.0378878575829955,0.108548189596074,0.260099619928056,-0.059334237617137,0.427982047141267
"524","SuperiorFrontalGyrus","Putamen",-1.273,0.018,0,0.243072067526133,0.0378878575829955,0.167296352360142,0.318847782692124,-0.000586074853068608,0.486730209905335
"525","Ventral_ACC","Putamen",-1.273,0.018,0,0.246988593682608,0.0378878575829955,0.171212878516617,0.322764308848599,0.00333045130340576,0.49064673606181
"526","Dorsal_ACC","Accum",-0.273,0.018,0,0.304951331217687,0.0224352054268694,0.260080920363948,0.349821742071426,0.0690685528955948,0.54083410953978
"527","InferiorFrontalGyrus","Accum",-0.273,0.018,0,0.218084389154959,0.0224352054268699,0.17321397830122,0.262954800008699,-0.0177983891671334,0.453967167477052
"528","Lateral_OFC","Accum",-0.273,0.018,0,0.205030522607469,0.0224352054268699,0.160160111753729,0.249900933461209,-0.0308522557146236,0.440913300929562
"529","Medial_OFC","Accum",-0.273,0.018,0,0.252558801027382,0.0224352054268699,0.207688390173643,0.297429211881122,0.0166760227052898,0.488441579349475
"530","MiddleFrontalGyrus","Accum",-0.273,0.018,0,0.153520059608144,0.0224352054268699,0.108649648754404,0.198390470461884,-0.0823627187139488,0.389402837930236
"531","SuperiorFrontalGyrus","Accum",-0.273,0.018,0,0.216963938438244,0.0224352054268699,0.172093527584504,0.261834349291984,-0.0189188398838486,0.452846716760337
"532","Ventral_ACC","Accum",-0.273,0.018,0,0.356591904675957,0.0224352054268699,0.311721493822217,0.401462315529696,0.120709126353864,0.592474682998049
"533","Dorsal_ACC","Caudate",-0.273,0.018,0,0.347044364483358,0.0224352054268699,0.302173953629618,0.391914775337097,0.111161586161265,0.58292714280545
"534","InferiorFrontalGyrus","Caudate",-0.273,0.018,0,0.301815831797312,0.0224352054268699,0.256945420943572,0.346686242651052,0.0659330534752195,0.537698610119405
